qs_name,scopus_id,scopus_name,scival_id,scival_name
Washington University in St. Louis,,,,
KTH Royal Institute of Technology,,,,
Trinity College Dublin,,,Institution/319006,Trinity College Dublin
The Hong Kong Polytechnic University,,,,
Yonsei University,,,Institution/209077,Yonsei University
University of Geneva,,,Institution/306014,University of Geneva
University of Alberta,,,Institution/501035,University of Alberta
University of Helsinki,,,Institution/313007,University of Helsinki
Nagoya University,,,Institution/208093,Nagoya University
Technical University of Denmark,,,Institution/310009,Technical University of Denmark
Universidad Nacional Autónoma de México ,,,,
The University of Adelaide,60000305,Case Western Reserve University,,
University of Southern California,60022132,University of St Andrews,Institution/508341,University of Southern California
KIT,60102538,Karlsruhe Institute of Technology,Institution/309062,Karlsruhe Institute of Technology
Uppsala University,,,Institution/332018,Uppsala University
Universidade de São Paulo,,,Institution/602049,Universidade de Sao Paulo
Queen Mary University of London,,,Institution/315047,Queen Mary University of London
University of Groningen,60010023,University of Groningen,Institution/325013,University of Groningen
Humboldt-Universität zu Berlin,,,Institution/309021,Humboldt University of Berlin
Leiden University,60032730,Indian Institute of Technology Delhi,Institution/325005,Leiden University
Nanjing University,,,Institution/203129,Nanjing University
Utrecht University,,,Institution/325015,Utrecht University
Wageningen University & Research,60004156,Wageningen University and Research Centre,Institution/325017,Wageningen University & Research
Kyushu University,60011047,Kyushu University,Institution/208083,Kyushu University
University of Maryland,60020304,University of Maryland,Institution/715063,University of Maryland Center for Environmental Science
Chalmers University of Technology,60000990,Chalmers University of Technology,Institution/332001,Chalmers University of Technology
Hokkaido University,,,Institution/208034,Hokkaido University
Freie Universitaet Berlin,,,,
Lancaster University,,,Institution/315028,Lancaster University
Pontificia Universidad Católica de Chile,,,Institution/603001,Pontificia Universidad Catolica de Chile
University of California,,,Institution/508259,University of California at Berkeley
University of Oslo,60032730,Indian Institute of Technology Delhi,Institution/326007,University of Oslo
University of Pittsburgh,,,Institution/508332,University of Pittsburgh
CentraleSupélec,,,Institution/314295,CentraleSupelec
Ghent University,,,Institution/303004,Ghent University
University of Bern,,,Institution/306012,University of Bern
Aalto University,,,Institution/313003,Aalto University
Aarhus University,,,Institution/310010,Aarhus University
Michigan State University,,,Institution/508122,Michigan State University
Newcastle University,60013682,Seoul National University,Institution/315089,Newcastle University
RWTH Aachen University,60018029,National Tsing Hua University,Institution/309048,RWTH Aachen University
Cardiff University,60023998,Cardiff University,Institution/315006,Cardiff University
McMaster University,,,Institution/501017,McMaster University
Technische Universität Berlin,,,Institution/309050,Technical University of Berlin
Emory University,,,Institution/508059,Emory University
Université de Montréal,60018029,National Tsing Hua University,Institution/501028,University of Montreal
University of Lausanne,60016653,Rheinisch-Westfälische Technische Hochschule Aachen,Institution/306015,University of Lausanne
Hanyang University,,,Institution/209025,Hanyang University
École Normale Supérieure de Lyon,,,Institution/314016,École Normale Supérieure de Lyon
The Hebrew University of Jerusalem,,,,
The University of Exeter,,,,
Politecnico di Milano,,,Institution/321018,Polytechnic University of Milan
University of Minnesota,,,Institution/508305,University of Minnesota
University of Bath,,,Institution/315063,University of Bath
Universidad Autónoma de Madrid,,,Institution/312010,Universidad Autónoma de Madrid
University of Basel,,,Institution/306011,University of Basel
University of Technology Sydney,60026810,Vrije Universiteit Brussel,Institution/201034,University of Technology Sydney
Indian Institute of Technology Bombay,60032114,Erasmus University Medical Center,,
National Tsing Hua University,60029738,Queen's University Belfast,Institution/217047,National Tsing Hua University
University of Waterloo,60014171,University of Waterloo,Institution/501051,University of Waterloo
Université catholique de Louvain,60032730,Indian Institute of Technology Delhi,Institution/303009,Universite Catholique de Louvain
University of Liverpool,,,Institution/315086,University of Liverpool
Universitat de Barcelona,60032179,University of Wisconsin-Madison,Institution/312046,University of Barcelona
Sant'Anna - Scuola Universitaria Superiore Pisa,,,,
Eberhard Karls Universität Tübingen,,,,
University of California,,,Institution/508259,University of California at Berkeley
Indian Institute of Science,,,Institution/207028,Indian Institute of Science Bangalore
University of Bergen,,,Institution/326006,University of Bergen
Indian Institute of Technology Delhi,60032730,Indian Institute of Technology Delhi,,
University of Aberdeen,,,Institution/315062,University of Aberdeen
University of Twente,,,Institution/325014,University of Twente
Scuola Normale Superiore di Pisa,,,Institution/321021,Scuola Normale Superiore di Pisa
University of Vienna,60025988,Universitat Wien,Institution/301013,University of Vienna
University of Otago,,,Institution/212007,University of Otago
Tecnológico de Monterrey,60016653,Rheinisch-Westfälische Technische Hochschule Aachen,,
Erasmus University Rotterdam,60018029,National Tsing Hua University,Institution/325003,Erasmus University Rotterdam
Queen’s University Belfast,60013682,Seoul National University,,
Alma Mater Studiorum - University of Bologna,60026810,Vrije Universiteit Brussel,,
University of Florida,60013959,University of Florida,Institution/508279,University of Florida
Dartmouth College,60010756,Dartmouth College,Institution/508050,Dartmouth College
Universiti Kebangsaan Malaysia,60018029,National Tsing Hua University,Institution/211003,Universiti Kebangsaan Malaysia
University of Rochester,60032179,University of Wisconsin-Madison,Institution/508335,University of Rochester
Case Western Reserve University,60000305,Case Western Reserve University,Institution/508032,Case Western Reserve University
Albert-Ludwigs-Universitaet Freiburg,,,,
Vrije Universiteit Brussel,60005686,University of Auckland,Institution/303014,Vrije Universiteit Brussel
King Fahd University of Petroleum & Minerals,,,,
University of Colorado Boulder,,,Institution/508272,University of Colorado Boulder
Technische Universität Dresden,,,Institution/309052,Technische Universität Dresden
University of Virginia,,,Institution/508357,University of Virginia
Universitat Autònoma de Barcelona,,,Institution/312045,Autonomous University of Barcelona
University College Dublin,,,Institution/319008,University College Dublin
University of Reading,,,Institution/315094,University of Reading
Vanderbilt University,60032179,University of Wisconsin-Madison,Institution/508363,Vanderbilt University
University of Göttingen,,,Institution/309073,University of Göttingen
Keio University,,,Institution/208064,Keio University
Vienna University of Technology,,,Institution/301014,Vienna University of Technology
Stockholm University,,,Institution/332014,Stockholm University

